id,name,post_count,sample_n,rating_label,explicit_ratio,archetype,origin,main_subject,main_theme,main_technique,main_composition,top_copyrights,signature_tags,profile_line,url
499421,dairi,18794,200,全年龄向,0.0,同人角色专精,同人为主,男性主体,和风/BL/腐向,,单人立绘,touhou|cevio|touhou_shizenyu,tachi-e transparent_background alphes_(style) touhou clock_necklace style_parody checkered_bracelet takahashi_amato,同人角色专精 · 和风 · BL/腐向 · 单人立绘 · 同人为主,https://danbooru.donmai.us/artists/499421
590000,ebifurya,6639,200,轻度色气,0.045,同人角色专精,同人为主,女性主体,泳装/内衣/体型特征,,俯视/仰视,kantai_collection|azur_lane|blue_archive,one-hour_drawing_challenge kantai_collection twitter_username cropped_legs artist_name skindentation hair_intakes spoken_blush,同人角色专精 · 泳装/内衣 · 体型特征 · 俯视/仰视 · 同人为主,https://danbooru.donmai.us/artists/590000
406695,bkub,5868,200,全年龄向,0.01,漫画/剧情向,同人为主,非人物/静物,科幻/机甲/校园,漫画分镜/单色/灰度,漫画/多格,yappari_chinchirando|poptepipic|ip_police_tsuduki-chan,yappari_chinchirando chinchilla_(animal) raia-chan whiskers popuko poptepipic pipimi 4koma,漫画/剧情向 · 科幻/机甲 · 校园 · 漫画分镜 · 漫画/多格,https://danbooru.donmai.us/artists/406695
399053,crote,6449,200,全年龄向,0.0,同人角色专精,同人为主,男性主体,和风/奇幻/魔法,,肖像/半身,touhou|sekaiju_no_meikyuu|sekaiju_no_meikyuu_2,tachi-e transparent_background touhou himekaidou_hatate checkered_skirt flip_phone hijiri_myouren hand_on_own_leg,同人角色专精 · 和风 · 奇幻/魔法 · 肖像/半身 · 同人为主,https://danbooru.donmai.us/artists/399053
1251096,itomugi-kun,5854,200,全年龄向,0.0,单色线稿派,原创/同人混合,男性主体,兽人/furry/BL/腐向,单色/灰度/漫画分镜,漫画/多格,touhou|precure|meitantei_precure!,dragon_boy kamishirasawa_keine touhou fujiwara_no_mokou furry_male torn_sleeves furry suspender_pants,单色线稿派 · 兽人/furry · BL/腐向 · 单色/灰度 · 漫画/多格,https://danbooru.donmai.us/artists/1251096
707629,hammer_(sunset_beach),5625,200,硬核R18,0.865,R18情色向画师,原创/同人混合,男性主体,裸体/暴露/手足/局部,漫画分镜,姿势/动态,touhou|monogatari_(series)|mario_(series),bar_censor touhou cum penis censored hetero clothed_female_nude_male cum_in_pussy,硬核R18 · R18情色向画师 · 裸体/暴露 · 手足/局部 · 漫画分镜 · 姿势/动态,https://danbooru.donmai.us/artists/707629
622805,inoino,4790,200,轻度色气,0.205,奇幻/魔法题材,同人为主,男性主体,体型特征/奇幻/魔法,,单人立绘,kouyoku_senki_exs-tia|himekishi_olivia,kouyoku_senki_exs-tia katsuragi_marina olivia_lindegald himekishi_olivia katsuragi_marina_(exs-tia_p) tachi-e transparent_background garzom_(exs-tia),奇幻/魔法题材 · 体型特征 · 奇幻/魔法 · 单人立绘 · 同人为主,https://danbooru.donmai.us/artists/622805
1016232,haruyama_kazunori,5282,200,全年龄向,0.005,综合向插画师,同人为主,群像/多人,泳装/内衣/奇幻/魔法,赛璐璐/平涂/单色/灰度,俯视/仰视,precure|tropical-rouge!_precure|healin'_good_precure,precure tropical-rouge!_precure retro_artstyle healin'_good_precure upskirt gegege_no_kitarou laura_la_mer white_panties,综合向插画师 · 泳装/内衣 · 奇幻/魔法 · 赛璐璐/平涂 · 俯视/仰视,https://danbooru.donmai.us/artists/1016232
522588,kanon_(kurogane_knights),4619,200,全年龄向,0.0,同人角色专精,同人为主,群像/多人,制服/职场/校园,,设定/图解,kantai_collection|umamusume|working!!,artist_logo one-hour_drawing_challenge kantai_collection logo dated anna_miller waitress shigure_(kancolle),同人角色专精 · 制服/职场 · 校园 · 设定/图解 · 同人为主,https://danbooru.donmai.us/artists/522588
1673299,kou_hiyoyo,4673,200,全年龄向,0.0,像素/复古画师,同人为主,群像/多人,自然/风景/兽人/furry,像素画/线稿/速写,漫画/多格,pokemon|hololive|umamusume,doily pixelated diagonal-striped_background twitter_username striped_background navel_poke depth_of_field tickling,像素/复古画师 · 自然/风景 · 兽人/furry · 像素画 · 漫画/多格,https://danbooru.donmai.us/artists/1673299
