id,name,post_count,sample_n,rating_label,explicit_ratio,archetype,origin,main_subject,main_theme,main_technique,main_composition,top_copyrights,signature_tags,profile_line,url
2253095,hamchan69,634,200,全年龄向,0.02,百合专精,同人为主,群像/多人,百合/GL/音乐/偶像,漫画分镜/单色/灰度,漫画/多格,girls_band_cry|girls_band_cry_rpg|bang_dream!,kawaragi_momoka iseri_nina girls_band_cry roots_(hair) short_twintails yuri awa_subaru rupa_(girls_band_cry),百合专精 · 百合/GL · 音乐/偶像 · 漫画分镜 · 漫画/多格,https://danbooru.donmai.us/artists/2253095
2520057,kojirou_(mesurf1),563,200,全年龄向,0.075,兽耳/亚人专精,原创/同人混合,男性主体,兽人/furry/体型特征,漫画分镜,漫画/多格,dc_comics|batman_(series)|pokemon,robin_(batrobin_k) dick_grayson robin_(dc) dc_comics domino_mask batman_(series) genderswap_(mtf) eye_mask,兽耳/亚人专精 · 兽人/furry · 体型特征 · 漫画分镜 · 漫画/多格,https://danbooru.donmai.us/artists/2520057
2097085,hero45439083942,587,200,全年龄向,0.05,原创角色设计师,原创为主,群像/多人,百合/GL/兽耳/亚人,单色/灰度,表情/表演,bang_dream!|bang_dream!_it's_mygo!!!!!|kimetsu_no_yaiba,bang_dream!_it's_mygo!!!!! bang_dream! shiina_mirei wakaba_muna togawa_hazuki yahata_riko nagasaki_anna takamatsu_shizuku,原创角色设计师 · 百合/GL · 兽耳/亚人 · 单色/灰度 · 表情/表演,https://danbooru.donmai.us/artists/2097085
1276073,cslucaris,619,200,情色向,0.305,R18情色向画师,原创/同人混合,女性主体,裸体/暴露/体型特征,漫画分镜/单色/灰度,姿势/动态,rwby|hololive|nier:automata,rwby lucille_(cslucaris) neopolitan_(rwby) patreon_username ruby_rose spider_girl birthmark arthropod_girl,情色向 · R18情色向画师 · 裸体/暴露 · 体型特征 · 漫画分镜 · 姿势/动态,https://danbooru.donmai.us/artists/1276073
691584,mitsumoto_jouji,1214,200,全年龄向,0.01,单色线稿派,原创/同人混合,群像/多人,兽耳/亚人/和风,单色/灰度/漫画分镜,漫画/多格,kemono_friends|touhou|night_sparrow_love,kemono_friends serval_(kemono_friends) kaban_(kemono_friends) night_sparrow_love one_erika common_raccoon_(kemono_friends) animal_print bird_wings,单色线稿派 · 兽耳/亚人 · 和风 · 单色/灰度 · 漫画/多格,https://danbooru.donmai.us/artists/691584
659955,achiki,478,200,全年龄向,0.0,原创角色设计师,原创为主,男性主体,自然/风景/校园,光影/氛围/单色/灰度,肖像/半身,vspo!|hololive|hololive_dev_is,ichinose_uruha vspo! todoroki_hajime virtual_youtuber banpen_(todoroki_hajime) hololive_dev_is todoroki_hajime_(1st_costume) relic_(artbook),原创角色设计师 · 自然/风景 · 校园 · 光影/氛围 · 肖像/半身,https://danbooru.donmai.us/artists/659955
2175463,gegesan,363,200,全年龄向,0.0,同人角色专精,同人为主,女性主体,校园/军事/枪械,,俯视/仰视,kantai_collection,adapted_turret rigging torpedo_launcher smokestack ship_turret kantai_collection torpedo_tubes cannon,同人角色专精 · 校园 · 军事/枪械 · 俯视/仰视 · 同人为主,https://danbooru.donmai.us/artists/2175463
2159901,misg1111,465,200,全年龄向,0.0,综合向插画师,同人为主,男性主体,战斗/动作/体型特征,特效/后期/漫画分镜,差分/变体,project_moon|limbus_company|lobotomy_corporation,project_moon limbus_company kira_(project_moon) lobotomy_corporation korean_text ryoshu_(project_moon) middle_(identity)_(project_moon) jia_xichun_(project_moon),综合向插画师 · 战斗/动作 · 体型特征 · 特效/后期 · 差分/变体,https://danbooru.donmai.us/artists/2159901
1600811,bokoboko_(pandagapanda1),358,200,轻度色气,0.24,漫画/剧情向,同人为主,群像/多人,兽耳/亚人/裸体/暴露,漫画分镜/单色/灰度,漫画/多格,kemono_friends|kemono_friends_3|kemono_friends_v_project,kemono_friends_3 kemono_friends kemono_friends_v_project captain_(kemono_friends) eurasian_lynx_(kemono_friends)_(bokoboko_(pandagapanda1)) 4koma ear_tufts extra_ears,漫画/剧情向 · 兽耳/亚人 · 裸体/暴露 · 漫画分镜 · 漫画/多格,https://danbooru.donmai.us/artists/1600811
624655,pole_(ppp1409),413,200,硬核R18,0.925,R18情色向画师,同人为主,群像/多人,裸体/暴露/BL/腐向,赛璐璐/平涂/漫画分镜,姿势/动态,idolmaster|idolmaster_cinderella_girls|saki_(manga),mosaic_censoring idolmaster_cinderella_girls onee-shota shota sex idolmaster sexy_guilty_(idolmaster) haramura_nodoka,硬核R18 · R18情色向画师 · 裸体/暴露 · BL/腐向 · 赛璐璐/平涂 · 姿势/动态,https://danbooru.donmai.us/artists/624655
1425991,sakura_yuki_(clochette),560,200,全年龄向,0.005,日常/治愈系,同人为主,女性主体,日常/治愈/泳装/内衣,特效/后期/漫画分镜,俯视/仰视,chibi_kyonyuu|blue_archive|mahjong_soul,chibi_kyonyuu kodama_sawa_(sakura_yuki) kodama_rin_(sakura_yuki) sapporo_beer taut_clothes scowl soju brand_name_imitation,日常/治愈系 · 日常/治愈 · 泳装/内衣 · 特效/后期 · 俯视/仰视,https://danbooru.donmai.us/artists/1425991
598039,rib:y(uhki),373,200,情色向,0.13,原创角色设计师,原创为主,男性主体,体型特征/泳装/内衣,漫画分镜/单色/灰度,姿势/动态,fate_(series)|fate/grand_order|imperial_circus_dead_decadence,takamine_erena tall_female imperial_circus_dead_decadence onee-shota age_difference taller_female_shorter_male height_difference size_difference,情色向 · 原创角色设计师 · 体型特征 · 泳装/内衣 · 漫画分镜 · 姿势/动态,https://danbooru.donmai.us/artists/598039
992908,sukemyon,457,200,全年龄向,0.0,兽耳/亚人专精,原创/同人混合,非人物/静物,兽耳/亚人/体型特征,线稿/速写/素描/炭笔,表情/表演,hololive|granblue_fantasy|shingeki_no_bahamut,shirakami_fubuki fenrir_(shingeki_no_bahamut) shirakami_fubuki_(1st_costume) hololive shingeki_no_bahamut animal_ear_piercing granblue_fantasy fox_tail,兽耳/亚人专精 · 兽耳/亚人 · 体型特征 · 线稿/速写 · 表情/表演,https://danbooru.donmai.us/artists/992908
1706319,muraryo,382,200,全年龄向,0.005,同人角色专精,同人为主,女性主体,自然/风景/战斗/动作,单色/灰度,表情/表演,touhou|touhou_(pc-98)|taboo_japan_disentanglement,usami_renko sleeve_cuffs touhou alternate_eye_color maribel_hearn black_capelet hat_bow large_bow,同人角色专精 · 自然/风景 · 战斗/动作 · 单色/灰度 · 表情/表演,https://danbooru.donmai.us/artists/1706319
398619,kiyama_satoshi,937,200,情色向,0.34,R18情色向画师,同人为主,女性主体,裸体/暴露/体型特征,单色/灰度/漫画分镜,漫画/多格,indie_virtual_youtuber|kantai_collection|kikuru_(vtuber),giant_sperm_cell kuroike_momimi fujisaki_yua kikuru_(vtuber) sperm_cell virtual_youtuber komorebi_wanko colorado_(kancolle),情色向 · R18情色向画师 · 裸体/暴露 · 体型特征 · 单色/灰度 · 漫画/多格,https://danbooru.donmai.us/artists/398619
1476874,kinkymation,1625,200,硬核R18,0.72,R18情色向画师,同人为主,男性主体,裸体/暴露/体型特征,漫画分镜,漫画/多格,umamusume|marvel|marvel_rivals,sex uncensored hetero marvel_rivals vaginal penis mantis_(marvel) nipples,硬核R18 · R18情色向画师 · 裸体/暴露 · 体型特征 · 漫画分镜 · 漫画/多格,https://danbooru.donmai.us/artists/1476874
1460611,chihuri,2963,200,全年龄向,0.0,原创角色设计师,原创/同人混合,男性主体,自然/风景/都市/街景,漫画分镜/单色/灰度,漫画/多格,final_fantasy|final_fantasy_xiv|elden_ring,nea_(chihuri) ende_(chihuri) final_fantasy_xiv zephirin_de_valhourdin final_fantasy warrior_of_light_(ff14) au_ra axolotl,原创角色设计师 · 自然/风景 · 都市/街景 · 漫画分镜 · 漫画/多格,https://danbooru.donmai.us/artists/1460611
